Vardas         Pavarde        ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas1        Pavarde1       7     6     2     8     5     8     1     5     4     8     5     2     1     10    9     3     
Vardas2        Pavarde2       4     8     4     1     9     9     10    8     9     8     4     7     10    7     8     1     
Vardas3        Pavarde3       6     2     9     1     6     3     4     7     5     7     2     4     5     7     4     8     
Vardas4        Pavarde4       5     10    10    7     2     2     4     7     5     3     10    4     9     9     7     8     
Vardas5        Pavarde5       2     10    1     8     9     7     6     10    6     1     10    4     8     4     6     9     
Vardas6        Pavarde6       2     7     8     2     3     6     6     9     4     2     1     4     1     10    2     1     
Vardas7        Pavarde7       4     10    4     2     9     3     7     7     4     4     6     6     1     10    9     4     
Vardas8        Pavarde8       7     5     9     2     10    2     3     3     7     5     4     8     2     2     8     4     
Vardas9        Pavarde9       6     1     7     3     6     7     6     4     7     5     6     2     1     9     2     3     
Vardas10       Pavarde10      3     3     6     4     3     5     8     9     8     1     9     9     10    5     10    10    
Vardas11       Pavarde11      8     7     8     3     5     2     3     7     3     6     8     2     10    1     5     5     
Vardas12       Pavarde12      8     9     10    7     8     9     2     2     3     8     7     1     10    1     1     2     
Vardas13       Pavarde13      4     10    4     7     8     6     6     9     6     9     10    4     1     5     5     7     
Vardas14       Pavarde14      6     5     10    6     1     2     1     9     8     5     3     9     4     8     6     2     
Vardas15       Pavarde15      4     10    6     8     5     3     6     1     6     7     1     1     10    7     10    6     
Vardas16       Pavarde16      6     8     8     6     4     7     4     10    1     4     4     4     2     3     4     1     
Vardas17       Pavarde17      3     6     3     1     1     8     6     2     8     8     3     8     8     5     5     7     
Vardas18       Pavarde18      2     10    5     5     9     2     9     6     3     3     1     2     3     3     9     2     
Vardas19       Pavarde19      8     7     6     5     8     7     6     6     8     9     2     6     1     3     9     4     
Vardas20       Pavarde20      9     8     4     7     6     1     8     4     6     3     5     9     9     4     10    3     
Vardas21       Pavarde21      5     3     5     8     7     6     8     7     5     2     3     1     10    4     6     9     
Vardas22       Pavarde22      4     6     8     3     3     4     6     2     2     2     7     6     10    8     5     5     
Vardas23       Pavarde23      3     6     5     4     10    2     9     3     6     9     8     3     2     1     6     1     
Vardas24       Pavarde24      3     10    6     4     3     10    4     8     5     6     8     8     2     8     4     10    
Vardas25       Pavarde25      4     2     8     8     10    4     9     6     9     5     8     3     3     6     6     5     
Vardas26       Pavarde26      9     7     7     4     6     6     6     1     5     10    5     6     8     6     4     5     
Vardas27       Pavarde27      8     2     5     3     7     7     9     8     2     2     6     4     2     5     4     7     
Vardas28       Pavarde28      1     5     8     2     8     2     6     2     4     1     8     10    10    8     8     5     
Vardas29       Pavarde29      9     1     6     5     5     8     8     5     5     6     2     9     1     10    5     10    
Vardas30       Pavarde30      2     5     9     1     5     2     1     6     8     8     2     2     2     7     8     6     
Vardas31       Pavarde31      5     6     2     3     4     6     5     7     2     10    2     10    1     4     4     3     
Vardas32       Pavarde32      5     3     3     9     5     6     5     10    3     3     6     10    7     9     10    9     
Vardas33       Pavarde33      9     6     10    10    4     10    7     8     4     10    7     7     4     2     4     4     
Vardas34       Pavarde34      10    7     10    7     3     9     7     2     3     10    3     2     3     4     7     10    
Vardas35       Pavarde35      9     2     8     2     8     7     5     7     4     10    3     4     8     2     2     9     
Vardas36       Pavarde36      10    10    10    10    4     6     2     8     2     1     8     6     8     3     3     2     
Vardas37       Pavarde37      10    5     1     6     9     6     10    9     6     5     7     7     7     6     5     1     
Vardas38       Pavarde38      7     10    8     4     6     10    7     9     7     6     4     10    4     6     5     6     
Vardas39       Pavarde39      8     4     5     2     5     7     2     9     1     4     6     10    1     10    8     5     
Vardas40       Pavarde40      1     5     9     2     6     4     7     10    2     4     4     10    9     2     2     8     
Vardas41       Pavarde41      8     2     7     5     7     10    10    9     1     9     9     7     8     1     8     6     
Vardas42       Pavarde42      2     10    10    8     8     5     5     7     1     5     8     6     10    7     3     5     
Vardas43       Pavarde43      8     7     9     10    1     1     3     2     10    8     5     2     10    5     1     5     
Vardas44       Pavarde44      6     9     6     9     10    6     2     7     8     5     9     8     6     3     7     10    
Vardas45       Pavarde45      10    5     2     9     1     5     8     10    4     9     5     9     2     6     4     2     
Vardas46       Pavarde46      7     6     7     2     6     4     3     5     1     6     3     8     9     1     5     3     
Vardas47       Pavarde47      1     5     3     9     1     9     10    5     1     6     10    9     6     3     6     5     
Vardas48       Pavarde48      1     8     8     5     10    2     8     1     9     5     4     6     4     7     10    5     
Vardas49       Pavarde49      4     9     5     1     3     3     8     7     2     8     9     9     8     9     4     9     
Vardas50       Pavarde50      10    7     10    9     2     6     6     8     9     3     3     9     1     8     10    3     
Vardas51       Pavarde51      5     1     7     5     6     3     3     9     5     4     6     4     6     8     3     9     
Vardas52       Pavarde52      10    8     7     2     5     6     7     3     5     1     3     10    10    10    8     1     
Vardas53       Pavarde53      1     4     1     9     8     5     2     9     5     8     6     8     10    4     8     4     
Vardas54       Pavarde54      4     9     9     1     3     3     1     8     2     10    4     1     5     3     2     2     
Vardas55       Pavarde55      6     8     8     3     4     2     3     5     5     4     7     3     10    5     10    4     
Vardas56       Pavarde56      6     2     7     1     3     9     9     1     10    9     6     7     6     2     2     4     
Vardas57       Pavarde57      10    10    4     1     1     8     1     10    9     3     9     8     8     9     6     7     
Vardas58       Pavarde58      10    8     2     5     2     6     4     3     9     1     10    1     4     9     1     10    
Vardas59       Pavarde59      3     2     9     6     9     3     6     9     7     1     6     10    8     4     4     5     
Vardas60       Pavarde60      2     9     8     1     10    7     8     1     5     5     10    1     1     2     10    1     
Vardas61       Pavarde61      9     8     2     7     10    2     10    2     3     4     2     4     6     2     9     2     
Vardas62       Pavarde62      10    5     5     9     5     4     8     2     10    6     7     10    10    6     3     5     
Vardas63       Pavarde63      10    3     4     7     10    4     6     8     3     1     4     2     7     7     5     8     
Vardas64       Pavarde64      3     1     8     5     3     10    2     3     10    4     6     2     9     7     2     9     
Vardas65       Pavarde65      2     3     2     7     5     5     9     10    4     1     1     6     3     5     8     2     
Vardas66       Pavarde66      10    4     5     1     8     9     10    2     4     3     2     4     9     9     2     7     
Vardas67       Pavarde67      10    10    3     5     2     7     1     4     1     7     10    4     10    10    9     9     
Vardas68       Pavarde68      9     2     9     9     3     3     5     3     10    2     8     5     4     5     9     4     
Vardas69       Pavarde69      4     3     5     5     4     6     3     2     10    7     9     10    2     5     3     2     
Vardas70       Pavarde70      7     7     1     10    4     9     6     3     5     1     7     7     2     3     8     7     
Vardas71       Pavarde71      3     4     4     1     1     5     3     3     6     3     9     10    1     9     8     3     
Vardas72       Pavarde72      6     1     8     1     2     7     6     1     10    6     4     7     6     6     6     4     
Vardas73       Pavarde73      8     1     3     2     8     7     4     4     9     5     9     6     4     6     7     3     
Vardas74       Pavarde74      8     8     7     5     7     7     10    5     1     4     1     4     3     4     10    2     
Vardas75       Pavarde75      1     9     6     1     1     9     10    2     5     7     10    6     4     2     6     4     
Vardas76       Pavarde76      5     1     4     6     10    8     10    10    8     9     5     4     5     9     7     6     
Vardas77       Pavarde77      10    7     8     3     2     4     2     8     6     7     5     8     3     2     6     6     
Vardas78       Pavarde78      5     5     6     4     5     2     6     5     4     6     6     6     5     10    8     2     
Vardas79       Pavarde79      7     9     8     10    3     10    3     2     8     9     6     7     6     8     5     1     
Vardas80       Pavarde80      2     6     1     10    7     7     1     6     10    9     6     2     9     1     8     5     
Vardas81       Pavarde81      2     3     7     6     6     9     2     4     2     3     5     8     7     10    6     8     
Vardas82       Pavarde82      6     8     8     5     10    6     7     10    4     2     10    7     9     3     5     8     
Vardas83       Pavarde83      4     9     6     4     6     9     2     1     6     7     7     8     8     2     8     5     
Vardas84       Pavarde84      8     4     5     8     7     7     9     9     3     10    5     10    5     10    2     9     
Vardas85       Pavarde85      5     3     7     7     1     8     7     6     5     7     8     9     3     3     5     2     
Vardas86       Pavarde86      8     2     5     9     10    5     6     2     3     1     7     5     9     4     5     7     
Vardas87       Pavarde87      3     9     3     3     4     1     8     3     8     1     9     7     6     2     7     8     
Vardas88       Pavarde88      8     8     7     6     8     10    7     10    4     8     10    1     7     8     6     6     
Vardas89       Pavarde89      4     3     3     7     2     3     7     9     7     1     1     5     7     7     3     8     
Vardas90       Pavarde90      4     5     2     9     7     4     9     9     6     1     1     10    9     6     6     1     
Vardas91       Pavarde91      6     7     4     6     7     3     8     3     6     2     7     4     2     4     9     8     
Vardas92       Pavarde92      2     3     5     2     5     10    4     10    5     2     10    3     9     10    10    1     
Vardas93       Pavarde93      3     7     10    5     9     1     6     1     3     5     6     7     6     7     10    1     
Vardas94       Pavarde94      2     6     8     7     6     2     9     8     5     2     2     9     2     5     4     6     
Vardas95       Pavarde95      3     7     7     6     8     1     4     6     8     8     9     10    3     9     5     6     
Vardas96       Pavarde96      8     3     4     10    10    9     6     3     8     3     3     5     8     7     10    1     
Vardas97       Pavarde97      8     8     7     7     10    2     7     7     8     3     10    7     6     3     1     3     
Vardas98       Pavarde98      9     1     10    1     3     9     8     9     6     9     9     3     1     8     7     4     
Vardas99       Pavarde99      10    9     2     9     4     4     6     8     7     7     2     6     2     9     7     6     
Vardas100      Pavarde100     6     7     7     4     7     2     7     4     8     2     6     9     1     5     3     2     
