Vardas         Pavarde        ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas1        Pavarde1       6     1     8     4     8     3     5     3     6     8     6     7     6     7     3     4     
Vardas2        Pavarde2       3     5     1     4     8     8     4     9     3     5     6     7     7     3     5     8     
Vardas3        Pavarde3       4     2     5     9     5     1     3     7     10    3     1     7     6     3     8     3     
Vardas4        Pavarde4       1     3     3     5     6     9     1     3     2     10    8     10    7     5     2     5     
Vardas5        Pavarde5       7     5     4     5     5     3     4     10    2     5     8     5     10    4     6     3     
Vardas6        Pavarde6       2     6     4     4     5     9     7     6     5     10    6     4     4     2     3     4     
Vardas7        Pavarde7       10    3     8     5     10    6     7     7     6     9     7     10    3     7     5     4     
Vardas8        Pavarde8       7     8     3     10    7     9     5     10    5     6     6     3     9     5     6     4     
Vardas9        Pavarde9       5     2     5     10    3     3     4     2     1     2     4     8     10    10    2     7     
Vardas10       Pavarde10      7     2     2     9     10    1     7     7     1     7     6     9     1     9     6     1     
Vardas11       Pavarde11      9     6     8     3     8     8     8     7     6     9     3     1     5     4     3     1     
Vardas12       Pavarde12      9     9     10    9     1     3     10    7     5     5     2     7     9     5     5     6     
Vardas13       Pavarde13      8     2     4     1     8     10    10    3     8     7     2     2     10    4     8     9     
Vardas14       Pavarde14      8     3     9     6     5     2     8     7     2     4     8     7     8     7     7     7     
Vardas15       Pavarde15      9     9     7     3     10    6     8     10    4     4     9     5     8     6     7     10    
Vardas16       Pavarde16      7     3     7     8     8     1     1     7     4     7     4     5     9     5     2     4     
Vardas17       Pavarde17      10    7     3     7     7     10    10    8     7     4     9     1     9     1     6     1     
Vardas18       Pavarde18      6     8     4     9     5     3     5     1     7     3     7     2     1     2     6     2     
Vardas19       Pavarde19      2     3     4     7     8     1     9     2     10    2     6     10    10    2     5     7     
Vardas20       Pavarde20      10    2     4     5     10    6     7     6     6     6     5     8     3     9     2     7     
Vardas21       Pavarde21      10    2     10    6     8     4     10    8     10    5     9     2     6     3     4     7     
Vardas22       Pavarde22      7     4     9     5     3     9     1     1     8     1     4     3     6     7     8     5     
Vardas23       Pavarde23      6     6     2     9     6     9     5     8     9     7     1     2     10    3     10    8     
Vardas24       Pavarde24      9     9     5     6     9     9     10    2     4     1     4     2     6     10    1     7     
Vardas25       Pavarde25      1     6     3     7     9     5     1     1     4     7     10    8     1     5     9     6     
Vardas26       Pavarde26      9     9     1     9     5     4     2     9     1     8     1     2     10    6     2     5     
Vardas27       Pavarde27      5     10    1     8     3     7     10    1     9     4     4     2     6     9     5     3     
Vardas28       Pavarde28      2     3     3     2     2     9     10    8     1     7     1     1     5     7     1     9     
Vardas29       Pavarde29      1     5     1     2     7     3     8     3     2     6     2     3     10    5     6     4     
Vardas30       Pavarde30      9     4     3     7     1     2     8     9     2     3     2     9     2     3     4     8     
Vardas31       Pavarde31      3     2     3     7     9     7     5     5     2     8     3     5     5     2     10    2     
Vardas32       Pavarde32      9     2     1     9     8     10    10    10    9     2     7     8     8     4     9     7     
Vardas33       Pavarde33      2     5     3     5     1     4     9     3     6     1     5     4     8     3     1     4     
Vardas34       Pavarde34      4     5     1     3     9     4     7     5     8     5     2     10    6     4     10    6     
Vardas35       Pavarde35      5     3     9     8     2     5     8     6     2     7     9     7     8     1     3     10    
Vardas36       Pavarde36      10    2     7     6     9     10    2     6     10    9     3     4     7     9     8     9     
Vardas37       Pavarde37      7     5     7     2     5     7     2     8     5     10    3     3     8     6     8     6     
Vardas38       Pavarde38      1     8     7     1     8     6     7     9     10    2     3     7     1     1     6     6     
Vardas39       Pavarde39      1     3     8     2     8     6     2     8     7     1     3     8     9     8     5     8     
Vardas40       Pavarde40      6     2     7     9     5     3     7     2     9     8     8     7     1     9     2     3     
Vardas41       Pavarde41      5     1     4     7     1     10    8     4     5     1     7     8     10    3     6     4     
Vardas42       Pavarde42      8     8     10    3     7     3     10    6     8     2     6     10    4     10    3     8     
Vardas43       Pavarde43      8     1     4     9     9     7     3     4     3     1     9     5     10    4     10    6     
Vardas44       Pavarde44      6     2     4     8     1     10    4     8     7     3     5     5     7     3     7     1     
Vardas45       Pavarde45      6     10    7     2     2     7     8     7     10    2     9     1     7     1     8     2     
Vardas46       Pavarde46      1     8     3     5     4     6     5     6     5     10    6     2     9     6     6     10    
Vardas47       Pavarde47      9     6     7     5     3     10    5     1     7     8     2     10    6     6     2     5     
Vardas48       Pavarde48      9     4     7     10    4     10    9     8     8     5     3     9     7     3     8     5     
Vardas49       Pavarde49      4     1     2     2     9     10    6     6     5     7     2     10    5     5     10    8     
Vardas50       Pavarde50      8     8     10    1     8     9     6     5     5     6     4     3     6     1     1     4     
Vardas51       Pavarde51      6     10    8     7     3     9     8     1     3     10    4     9     10    7     3     3     
Vardas52       Pavarde52      5     10    2     4     8     7     8     1     4     5     2     4     9     1     9     6     
Vardas53       Pavarde53      8     9     1     1     8     3     4     8     1     8     3     7     10    2     10    10    
Vardas54       Pavarde54      6     8     7     10    9     8     7     8     6     6     7     4     9     2     7     4     
Vardas55       Pavarde55      1     9     7     10    5     4     8     3     4     1     3     2     2     10    5     4     
Vardas56       Pavarde56      4     6     10    7     1     2     8     5     8     3     3     2     4     8     5     4     
Vardas57       Pavarde57      9     3     6     6     7     4     5     7     8     2     8     7     8     9     1     7     
Vardas58       Pavarde58      2     3     8     3     5     3     3     2     4     8     4     5     9     1     10    2     
Vardas59       Pavarde59      10    5     9     2     2     5     1     6     9     6     10    1     8     10    6     3     
Vardas60       Pavarde60      5     8     1     7     8     4     3     7     5     3     6     9     7     7     7     3     
Vardas61       Pavarde61      7     6     4     6     1     2     4     3     2     5     7     4     3     4     2     3     
Vardas62       Pavarde62      4     4     8     8     5     2     7     7     1     8     10    10    9     2     6     5     
Vardas63       Pavarde63      6     7     9     9     3     10    2     5     10    10    2     10    3     4     3     5     
Vardas64       Pavarde64      9     5     3     10    7     4     4     2     3     5     1     4     4     10    5     2     
Vardas65       Pavarde65      8     1     6     9     3     3     9     3     7     8     4     6     3     8     7     1     
Vardas66       Pavarde66      9     9     4     9     6     5     5     1     5     8     5     7     9     3     7     4     
Vardas67       Pavarde67      2     6     5     10    10    2     5     9     9     1     1     8     3     6     4     6     
Vardas68       Pavarde68      4     7     1     8     5     5     6     4     10    1     1     6     9     9     9     4     
Vardas69       Pavarde69      5     2     10    9     5     4     6     2     5     5     8     6     1     3     1     2     
Vardas70       Pavarde70      3     4     9     5     1     8     10    1     9     5     7     10    4     4     3     3     
Vardas71       Pavarde71      2     8     1     8     9     9     9     7     9     9     3     1     10    2     2     10    
Vardas72       Pavarde72      2     7     4     4     5     8     2     1     5     3     5     3     5     5     6     9     
Vardas73       Pavarde73      5     5     3     9     9     6     8     8     2     4     2     9     5     5     10    10    
Vardas74       Pavarde74      4     2     7     7     4     2     4     6     1     7     5     7     1     3     6     8     
Vardas75       Pavarde75      1     10    6     3     2     1     2     7     8     5     1     10    10    9     8     2     
Vardas76       Pavarde76      10    3     1     1     5     3     3     8     5     10    3     5     9     9     1     2     
Vardas77       Pavarde77      6     9     3     1     8     1     6     7     3     7     8     7     9     3     2     9     
Vardas78       Pavarde78      9     8     4     3     7     6     1     4     4     9     6     1     6     9     9     2     
Vardas79       Pavarde79      8     2     3     9     10    7     6     4     2     2     10    6     1     1     6     9     
Vardas80       Pavarde80      8     10    3     3     1     3     2     1     8     6     6     9     3     3     8     7     
Vardas81       Pavarde81      2     3     2     5     5     1     2     10    8     6     9     10    10    4     10    7     
Vardas82       Pavarde82      7     10    5     5     6     6     8     6     4     2     6     10    7     4     4     9     
Vardas83       Pavarde83      1     10    10    5     2     8     5     8     1     4     4     3     5     5     10    3     
Vardas84       Pavarde84      9     5     7     1     2     8     8     4     10    1     7     4     1     1     9     2     
Vardas85       Pavarde85      1     9     6     1     2     9     10    7     5     5     2     9     3     8     3     1     
Vardas86       Pavarde86      3     8     4     4     2     4     6     4     7     10    5     1     2     5     3     2     
Vardas87       Pavarde87      10    1     3     6     9     4     1     10    3     5     5     3     3     4     2     2     
Vardas88       Pavarde88      10    9     2     9     9     9     3     5     2     10    9     8     10    4     1     5     
Vardas89       Pavarde89      3     9     5     3     10    7     3     1     7     7     3     1     4     2     1     2     
Vardas90       Pavarde90      4     2     8     10    2     5     2     4     8     1     2     8     6     10    7     6     
Vardas91       Pavarde91      1     8     7     10    1     7     10    8     4     6     2     7     9     6     9     9     
Vardas92       Pavarde92      1     7     10    9     4     8     1     8     8     10    1     1     3     1     9     10    
Vardas93       Pavarde93      4     6     5     5     5     1     4     7     9     10    2     8     7     4     8     2     
Vardas94       Pavarde94      1     4     8     4     8     2     5     7     2     4     1     9     8     3     3     3     
Vardas95       Pavarde95      5     6     9     10    6     2     1     2     5     6     4     10    8     5     10    1     
Vardas96       Pavarde96      10    4     4     7     7     5     1     1     1     5     8     10    2     8     7     5     
Vardas97       Pavarde97      8     10    9     4     5     9     5     1     3     5     2     7     9     2     1     4     
Vardas98       Pavarde98      5     10    4     5     5     1     4     8     6     8     7     10    2     10    5     9     
Vardas99       Pavarde99      9     9     5     8     5     4     4     2     6     5     9     10    1     10    2     2     
Vardas100      Pavarde100     2     6     8     1     9     4     3     5     4     5     4     6     5     3     9     3     
Vardas101      Pavarde101     4     8     1     2     7     3     8     9     5     6     3     2     7     6     5     3     
Vardas102      Pavarde102     8     4     6     5     5     10    10    7     2     1     1     3     9     1     2     7     
Vardas103      Pavarde103     3     3     1     6     8     1     8     6     10    5     9     3     4     10    3     8     
Vardas104      Pavarde104     10    2     2     9     5     1     2     2     9     5     6     3     5     1     10    6     
Vardas105      Pavarde105     5     7     2     4     10    9     6     4     6     3     9     9     5     8     6     7     
Vardas106      Pavarde106     7     7     3     10    4     10    7     10    8     3     5     10    2     4     1     10    
Vardas107      Pavarde107     2     10    4     5     8     1     5     6     8     3     1     10    5     7     1     2     
Vardas108      Pavarde108     10    3     1     8     3     4     9     3     8     2     8     3     7     3     5     4     
Vardas109      Pavarde109     9     1     10    3     10    8     2     5     5     4     10    10    8     4     10    2     
Vardas110      Pavarde110     6     2     3     9     2     8     10    3     8     2     3     2     9     10    8     2     
Vardas111      Pavarde111     9     7     9     8     1     7     3     7     10    2     8     3     3     3     7     1     
Vardas112      Pavarde112     6     7     6     8     5     8     2     7     6     10    6     5     5     9     6     10    
Vardas113      Pavarde113     10    2     5     5     5     2     8     6     2     3     10    3     2     7     5     8     
Vardas114      Pavarde114     5     5     10    3     7     4     3     2     9     9     10    9     8     7     3     9     
Vardas115      Pavarde115     10    7     10    5     7     8     6     3     10    2     2     4     7     5     7     9     
Vardas116      Pavarde116     2     10    7     5     10    7     5     6     4     10    7     6     3     3     1     5     
Vardas117      Pavarde117     5     3     5     2     2     4     8     7     4     4     5     2     3     7     9     2     
Vardas118      Pavarde118     9     7     4     10    1     6     10    5     4     1     5     4     3     8     8     2     
Vardas119      Pavarde119     3     6     9     8     10    10    10    1     9     1     9     7     3     7     2     2     
Vardas120      Pavarde120     5     8     10    6     4     1     1     10    6     2     6     4     4     7     3     7     
Vardas121      Pavarde121     3     5     8     8     2     5     5     2     1     10    4     10    8     10    8     1     
Vardas122      Pavarde122     9     2     9     4     7     3     4     5     1     9     4     5     5     8     6     5     
Vardas123      Pavarde123     7     9     5     8     6     2     9     3     7     2     5     2     1     7     5     5     
Vardas124      Pavarde124     6     6     4     2     6     5     7     10    4     10    5     9     7     9     6     5     
Vardas125      Pavarde125     4     2     2     10    5     1     10    3     1     1     5     3     2     7     1     4     
Vardas126      Pavarde126     7     6     3     2     9     1     8     4     5     9     1     6     9     7     8     7     
Vardas127      Pavarde127     2     10    1     10    7     4     8     3     6     6     10    3     7     7     10    3     
Vardas128      Pavarde128     6     3     6     9     5     4     9     7     1     5     5     8     10    5     7     1     
Vardas129      Pavarde129     9     2     8     1     7     10    5     8     7     4     9     5     10    5     8     5     
Vardas130      Pavarde130     6     8     9     9     3     3     10    4     9     3     5     5     9     5     6     3     
Vardas131      Pavarde131     2     1     9     10    2     2     3     8     2     9     2     1     2     7     1     10    
Vardas132      Pavarde132     1     10    4     8     4     6     5     1     2     6     7     2     3     5     7     3     
Vardas133      Pavarde133     10    2     10    4     9     7     4     5     4     5     8     3     6     10    7     6     
Vardas134      Pavarde134     8     5     9     7     10    4     9     2     9     8     2     8     8     2     5     4     
Vardas135      Pavarde135     3     1     5     6     1     3     9     3     9     5     3     10    1     9     10    2     
Vardas136      Pavarde136     5     7     5     10    8     6     9     2     7     10    10    7     9     2     1     8     
Vardas137      Pavarde137     7     1     3     5     4     2     2     1     2     4     9     10    8     3     7     2     
Vardas138      Pavarde138     3     9     4     6     5     6     1     9     1     4     3     9     9     5     1     1     
Vardas139      Pavarde139     5     3     6     6     7     10    10    7     5     3     10    1     7     2     2     4     
Vardas140      Pavarde140     5     8     5     10    2     9     10    4     8     10    7     3     1     5     6     3     
Vardas141      Pavarde141     1     3     9     4     5     3     8     1     9     1     5     10    10    2     9     1     
Vardas142      Pavarde142     9     2     5     1     2     5     2     9     1     2     3     7     10    7     2     9     
Vardas143      Pavarde143     4     2     9     10    5     9     4     10    9     2     2     7     2     9     8     3     
Vardas144      Pavarde144     10    8     10    1     1     5     1     4     2     7     3     7     3     10    7     5     
Vardas145      Pavarde145     3     8     2     2     1     6     4     5     8     8     5     9     1     1     3     2     
Vardas146      Pavarde146     10    9     8     5     4     4     3     2     4     7     3     6     5     4     8     1     
Vardas147      Pavarde147     1     10    10    4     9     4     5     4     3     4     1     10    8     6     5     1     
Vardas148      Pavarde148     2     5     3     4     5     6     3     7     6     6     6     10    1     5     5     6     
Vardas149      Pavarde149     5     1     8     5     9     7     8     9     6     7     6     2     4     3     1     1     
Vardas150      Pavarde150     6     5     5     4     5     4     7     7     3     9     10    1     4     9     1     1     
Vardas151      Pavarde151     2     5     3     7     7     3     5     5     6     9     4     2     2     7     1     4     
Vardas152      Pavarde152     9     4     7     5     6     10    8     10    10    1     1     8     10    7     8     6     
Vardas153      Pavarde153     7     10    7     6     8     8     7     8     2     3     3     4     3     5     2     6     
Vardas154      Pavarde154     4     8     5     4     9     1     3     3     6     8     1     2     2     7     3     3     
Vardas155      Pavarde155     10    7     5     1     10    6     4     6     5     8     9     4     2     1     4     7     
